"product","policyHolder","numPeople","postcode","coverDate"
"Bronze","Ava Davis","2","BH9 3ZS","14/10/2021"
"Silver","Emma Smith","6","BH3 7HT","07/10/2021"
"Bronze","James Brown","7","BH1 3HQ","13/10/2021"
"Gold","Evelyn Brown","3","BH8 9EQ","16/10/2021"
"Gold","Benjamin Jones","3","BH6 3XR","13/10/2021"
"Silver","Isabella Johnson","1","BH25 5QP","12/10/2021"
"Bronze","Alexander Smith","4","BH21 3UD","21/10/2021"
"Gold","William Jones","6","BH9 1TH","31/10/2021"
"Gold","Benjamin Jones","1","BH12 3AN","24/10/2021"
"Silver","Elijah Williams","7","BH8 9TF","23/10/2021"
"Gold","Mia Smith","3","BH4 9ES","15/10/2021"
"Silver","Emma Jones","5","BH15 2YE","30/10/2021"
"Bronze","Mia Miller","3","BH23 6BS","13/10/2021"
"Silver","Sophia Smith","3","BH21 1PW","19/10/2021"
"Gold","Elijah Smith","4","BH14 8SW","15/10/2021"
"Silver","Alexander Davis","4","BH12 1EB","12/10/2021"
"Bronze","Alexander Jones","2","BH23 4LU","20/10/2021"
"Gold","Harper Jones","3","BH1 1HT","17/10/2021"
"Gold","Amelia Rodriguez","4","BH8 9YY","15/10/2021"
"Silver","Harper Johnson","6","BH15 1YY","23/10/2021"
"Bronze","Henry Johnson","5","BH10 5XJ","15/10/2021"
"Gold","Oliver Brown","4","BH20 6YB","10/10/2021"
"Gold","Oliver Garcia","3","BH23 3ZN","11/10/2021"
"Bronze","Amelia Jones","6","BH1 2HL","10/10/2021"
"Gold","Charlotte Garcia","5","BH25 6DB","19/10/2021"
"Bronze","Isabella Jones","2","BH25 7RJ","07/10/2021"
"Bronze","Isabella Smith","5","BH22 8PE","29/10/2021"
"Gold","Mia Smith","1","BH3 7XR","11/10/2021"
"Gold","Oliver Miller","3","BH31 6HG","14/10/2021"
"Gold","Oliver Jones","7","BH9 1TQ","23/10/2021"
"Gold","Mia Davis","4","BH25 5BJ","09/10/2021"
"Gold","James Miller","2","BH21 6JR","21/10/2021"
"Gold","Sophia Davis","2","BH9 1RW","06/10/2021"
"Silver","Charlotte Williams","3","BH12 9AR","10/10/2021"
"Bronze","Oliver Brown","7","BH21 5AY","15/10/2021"
"Silver","Olivia Williams","7","BH21 6JP","18/10/2021"
"Bronze","Charlotte Jones","3","BH11 0GR","06/10/2021"
"Bronze","Noah Smith","3","BH15 3EX","04/10/2021"
"Bronze","Isabella Rodriguez","1","BH1 9HT","21/10/2021"
"Bronze","Charlotte Johnson","4","BH22 9RW","10/10/2021"
"Bronze","James Smith","1","BH2 5JW","24/10/2021"
"Gold","Sophia Miller","7","BH24 9AB","12/10/2021"
"Bronze","Alexander Jones","3","BH23 2WY","21/10/2021"
"Gold","Alexander Brown","1","BH22 0WJ","24/10/2021"
"Bronze","Liam Garcia","7","BH23 1JL","19/10/2021"
"Gold","Emma Rodriguez","2","BH19 1AB","04/10/2021"
"Bronze","Isabella Smith","5","BH15 1BS","16/10/2021"
"Silver","William Williams","6","BH14 9DF","07/10/2021"
"Gold","Lucas Jones","3","BH1 4XW","10/10/2021"
"Silver","Emma Garcia","3","BH13 6JX","30/10/2021"
"Gold","Amelia Smith","7","BH17 7HP","20/10/2021"
"Gold","Alexander Davis","6","BH14 4DP","13/10/2021"
"Silver","Elijah Smith","5","BH17 7PG","08/10/2021"
"Silver","Harper Davis","1","BH2 5ZN","24/10/2021"
"Bronze","Emma Garcia","7","BH2 6JL","26/10/2021"
"Silver","Benjamin Smith","7","BH9 2EH","12/10/2021"
"Bronze","Henry Rodriguez","7","BH1 4SX","11/10/2021"
"Silver","William Jones","6","BH12 9LS","03/10/2021"
"Silver","Lucas Rodriguez","4","BH11 9LF","09/10/2021"
"Gold","Isabella Jones","7","BH10 7LP","15/10/2021"
"Gold","Emma Brown","3","BH20 6DZ","14/10/2021"
"Gold","Benjamin Garcia","5","BH13 7YU","13/10/2021"
"Silver","Mia Davis","1","BH12 5ET","17/10/2021"
"Bronze","Lucas Miller","1","BH14 0LB","07/10/2021"
"Bronze","Liam Jones","3","BH4 9NQ","11/10/2021"
"Bronze","Lucas Garcia","3","BH16 6HH","10/10/2021"
"Silver","Benjamin Brown","6","BH23 1LB","17/10/2021"
"Bronze","Evelyn Miller","6","BH17 7UG","26/10/2021"
"Bronze","Elijah Smith","1","BH10 7BA","22/10/2021"
"Bronze","Sophia Miller","3","BH11 8XZ","18/10/2021"
"Gold","Henry Garcia","6","BH24 2JZ","20/10/2021"
"Gold","Emma Williams","1","BH24 3LZ","07/10/2021"
"Gold","Alexander Rodriguez","1","BH7 6DJ","04/10/2021"
"Gold","Elijah Jones","3","BH12 3HN","31/10/2021"
"Gold","Elijah Rodriguez","2","BH23 4QB","03/10/2021"
"Gold","Ava Garcia","1","BH8 8DY","11/10/2021"
"Bronze","Emma Johnson","3","BH17 8BP","04/10/2021"
"Gold","Mia Jones","7","BH16 5SN","05/10/2021"
"Bronze","William Jones","7","BH21 7LR","13/10/2021"
"Bronze","Oliver Garcia","4","BH23 1BN","31/10/2021"
"Gold","Olivia Williams","2","BH17 7PU","16/10/2021"
"Silver","Lucas Davis","5","BH5 1JF","09/10/2021"
"Gold","Mia Brown","6","BH21 7XJ","17/10/2021"
"Gold","Oliver Davis","1","BH7 7EP","17/10/2021"
"Bronze","Mia Garcia","4","BH6 5XT","25/10/2021"
"Gold","Harper Garcia","2","BH15 2JL","19/10/2021"
"Silver","Alexander Rodriguez","3","BH17 9YP","09/10/2021"
"Bronze","Oliver Garcia","3","BH13 7LW","05/10/2021"
"Gold","Sophia Williams","2","BH12 2LP","12/10/2021"
"Silver","Oliver Williams","4","BH22 9RG","26/10/2021"
"Gold","Mia Smith","5","BH2 6DP","17/10/2021"
"Gold","Amelia Williams","3","BH21 3RB","21/10/2021"
"Bronze","Emma Johnson","3","BH1 3QJ","09/10/2021"
"Silver","Henry Smith","6","BH18 8JB","12/10/2021"
"Silver","Mia Jones","4","BH22 8AY","15/10/2021"
"Bronze","William Johnson","7","BH20 5DX","04/10/2021"
"Gold","Oliver Rodriguez","6","BH19 3AZ","19/10/2021"
"Silver","Sophia Davis","4","BH20 6YG","30/10/2021"
"Silver","Harper Miller","5","BH22 0BW","14/10/2021"
"Bronze","Alexander Williams","2","BH19 2SR","07/10/2021"
